transaction_id,timestamp,sender_account_id,receiver_account_id,amount,currency,channel,sender_country,receiver_country,device_id,ip_hash,sender_account_age_days,receiver_account_age_days,scenario
TX-002523,2026-05-17T17:00:00,VICTIM-012,MULE-AX7,2552.06,USD,wire,US,US,DEV-6063,hash_f908017b266bb932,418,14,SCENARIO_A
TX-002524,2026-05-17T17:01:00,MULE-AX7,EXIT-02,2285.08,USD,wire,US,AE,DEV-1197,hash_5ceecd7b11838d86,14,167,SCENARIO_A
TX-002521,2026-05-16T16:00:00,VICTIM-011,MULE-AX7,1695.99,USD,wire,US,US,DEV-2574,hash_e1e3afdf85fcfa18,1233,14,SCENARIO_A
TX-002522,2026-05-16T16:03:00,MULE-AX7,EXIT-03,1380.32,USD,wire,US,AE,DEV-7051,hash_4256dc8db1bdd56a,14,235,SCENARIO_A
TX-002519,2026-05-15T09:00:00,VICTIM-010,MULE-AX7,834.34,USD,wire,US,US,DEV-9438,hash_af2e155846ff19b3,1620,14,SCENARIO_A
TX-002520,2026-05-15T09:08:00,MULE-AX7,EXIT-02,721.86,USD,wire,US,AE,DEV-2585,hash_d5c4b30ab9175922,14,167,SCENARIO_A
TX-002517,2026-05-19T14:00:00,VICTIM-009,MULE-AX7,4852.92,USD,wire,US,US,DEV-2346,hash_dac5169df15b854e,319,14,SCENARIO_A
TX-002518,2026-05-19T14:18:00,MULE-AX7,EXIT-04,4231.77,USD,wire,US,US,DEV-5227,hash_3eb4a3ee63754082,14,411,SCENARIO_A
TX-002515,2026-05-16T16:00:00,VICTIM-008,MULE-AX7,11261.39,USD,wire,US,US,DEV-9715,hash_c5f93dcaf1f02b90,1922,14,SCENARIO_A
TX-002516,2026-05-16T16:19:00,MULE-AX7,EXIT-04,10259.15,USD,wire,US,US,DEV-1732,hash_0247b04d63616032,14,411,SCENARIO_A
TX-002513,2026-05-15T09:00:00,VICTIM-007,MULE-AX7,8904.85,USD,wire,US,US,DEV-2512,hash_9155ed93626d7bf1,336,14,SCENARIO_A
TX-002514,2026-05-15T09:25:00,MULE-AX7,EXIT-02,8219.71,USD,wire,US,AE,DEV-3275,hash_7e95b992af7da5d4,14,167,SCENARIO_A
TX-002511,2026-05-18T16:00:00,VICTIM-006,MULE-AX7,3969.45,USD,wire,US,US,DEV-2822,hash_013c7d7c9cb84018,641,14,SCENARIO_A
TX-002512,2026-05-18T16:01:00,MULE-AX7,EXIT-01,3247.79,USD,wire,US,GB,DEV-2951,hash_cc5ec79b67fc50e0,14,204,SCENARIO_A
TX-002509,2026-05-15T12:00:00,VICTIM-005,MULE-AX7,11539.76,USD,wire,US,US,DEV-1032,hash_05476e170f9b0aca,375,14,SCENARIO_A
TX-002510,2026-05-15T12:01:00,MULE-AX7,EXIT-04,9662.24,USD,wire,US,US,DEV-5779,hash_b6dd7eecbe6826d2,14,411,SCENARIO_A
TX-002507,2026-05-16T12:00:00,VICTIM-004,MULE-AX7,11280.46,USD,wire,US,US,DEV-9055,hash_f0553964afb29df9,1898,14,SCENARIO_A
TX-002508,2026-05-16T12:24:00,MULE-AX7,EXIT-02,10490.07,USD,wire,US,AE,DEV-6886,hash_542fbdd4e714e1a3,14,167,SCENARIO_A
TX-002505,2026-05-15T12:00:00,VICTIM-003,MULE-AX7,8824.22,USD,wire,US,US,DEV-9647,hash_518d38f869041328,312,14,SCENARIO_A
TX-002506,2026-05-15T12:09:00,MULE-AX7,EXIT-04,7307.55,USD,wire,US,US,DEV-1159,hash_10e001992b0d5b1c,14,411,SCENARIO_A
TX-002503,2026-05-17T12:00:00,VICTIM-002,MULE-AX7,4539.74,USD,wire,US,US,DEV-5407,hash_6fe243b3828648b4,1458,14,SCENARIO_A
TX-002504,2026-05-17T12:09:00,MULE-AX7,EXIT-04,4274.99,USD,wire,US,US,DEV-1640,hash_28605c20811143a5,14,411,SCENARIO_A
TX-002501,2026-05-17T09:00:00,VICTIM-001,MULE-AX7,1230.1,USD,wire,US,US,DEV-9668,hash_d2e9c930eeec175d,713,14,SCENARIO_A
TX-002502,2026-05-17T09:25:00,MULE-AX7,EXIT-02,1056.6,USD,wire,US,AE,DEV-3094,hash_32878723d5672f5d,14,167,SCENARIO_A
TX-000001,2026-05-31T15:16:00,ACC-NORMAL-0162,ACC-NORMAL-0067,22634.36,GBP,online,AE,GB,DEV-7939,hash_46d483f3d450281c,3043,3557,
TX-000002,2026-05-25T04:40:00,ACC-NORMAL-0011,ACC-NORMAL-0000,24495.15,AED,branch,AE,GB,DEV-8007,hash_0279b6a68f9797b0,844,2649,
TX-000003,2026-06-12T22:57:00,ACC-NORMAL-0028,ACC-NORMAL-0019,3734.87,CAD,online,JP,AU,DEV-3426,hash_20a045026e068097,2291,3157,
TX-000004,2026-05-26T01:57:00,ACC-NORMAL-0010,ACC-NORMAL-0079,8951.65,GBP,branch,AE,JP,DEV-6794,hash_8f5486b7c7b5b2bc,138,486,
TX-000005,2026-06-07T04:59:00,ACC-NORMAL-0104,ACC-NORMAL-0159,23247.73,EUR,branch,AE,FR,DEV-7755,hash_2dea94930658663a,1115,664,
TX-000006,2026-06-09T13:51:00,ACC-NORMAL-0188,ACC-NORMAL-0085,16750.98,AUD,branch,GB,JP,DEV-3608,hash_b386f7a4c991603f,439,3595,
TX-000007,2026-06-11T01:54:00,ACC-NORMAL-0027,ACC-NORMAL-0098,11772.54,AED,branch,GB,SG,DEV-6728,hash_d20eac174e20fd1a,1580,3027,
TX-000008,2026-05-15T21:12:00,ACC-NORMAL-0058,ACC-NORMAL-0057,9967.66,GBP,atm,FR,JP,DEV-5573,hash_a43825b559e4b671,601,615,
TX-000009,2026-06-05T17:21:00,ACC-NORMAL-0130,ACC-NORMAL-0102,23481.54,AUD,online,CA,SG,DEV-3925,hash_f668a61794a1875d,427,555,
TX-000010,2026-05-18T19:27:00,ACC-NORMAL-0067,ACC-NORMAL-0009,8648.72,SGD,atm,GB,CH,DEV-9379,hash_629c2ae31d9af659,3557,2099,
TX-000011,2026-05-23T01:45:00,ACC-NORMAL-0147,ACC-NORMAL-0048,10907.08,CHF,mobile,US,AU,DEV-4228,hash_6e6981a35d3d9e56,3454,929,
